dealDate,deposit,monthlyRent,calcedRent,aptNm,buildYear,contractTerm,contractType,excluUseAr,floor,jibun,preDeposit,preMonthlyRent,sggCd,umdNm,useRRRight
20110105,"1,500",60,0,원일,1970,, ,68.76,3,294-36,,,11410,홍제동, 
20110105,"18,000",0,0,대우푸르지오,2002,, ,59.584,6,739,,,11410,연희동, 
20110110,"22,000",0,0,대림,1993,, ,84.74,7,700,,,11410,연희동, 
20110110,"7,000",100,0,북아현3차,2002,, ,84.24,5,189-22,,,11410,북아현동, 
20110120,"28,000",0,0,경남(2차),1999,, ,122.91,6,118-9,,,11410,북아현동, 
20110122,"20,000",0,0,래미안남가좌2차,2005,, ,59.788,12,379,,,11410,남가좌동, 
20110124,"13,000",0,0,태영으뜸(데시앙),1998,, ,44.2,5,373,,,11410,홍제동, 
20110127,"20,000",0,0,홍은동벽산,1997,, ,114.96,13,455,,,11410,홍은동, 
20110128,"3,000",130,0,충림예하임,2010,, ,84.6,4,477,,,11410,충정로3가, 
20110131,"18,000",0,0,진흥,2002,, ,78.02,4,459,,,11410,홍은동, 
